LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,INVESTOR HOME PURCHASES,INVESTOR MARKET SHARE (%)
2026-08-20,Quarterly,2026-04-01,2026-06-30,Metro,"Atlanta, GA",3214,15.65
2026-08-20,Quarterly,2026-01-01,2026-03-31,Metro,"Atlanta, GA",2926,20.64
2026-08-20,Quarterly,2025-10-01,2025-12-31,Metro,"Atlanta, GA",3275,20.17
2026-08-20,Quarterly,2025-07-01,2025-09-30,Metro,"Atlanta, GA",3486,18.06
2026-08-20,Quarterly,2025-04-01,2025-06-30,Metro,"Atlanta, GA",3269,16.59
2026-08-20,Quarterly,2025-01-01,2025-03-31,Metro,"Atlanta, GA",3120,21.32
2026-08-20,Quarterly,2024-10-01,2024-12-31,Metro,"Atlanta, GA",3090,18.98
2026-08-20,Quarterly,2024-07-01,2024-09-30,Metro,"Atlanta, GA",3505,18.5
2026-08-20,Quarterly,2024-04-01,2024-06-30,Metro,"Atlanta, GA",3913,18.7
2026-08-20,Quarterly,2024-01-01,2024-03-31,Metro,"Atlanta, GA",3481,22.11
2026-08-20,Quarterly,2023-10-01,2023-12-31,Metro,"Atlanta, GA",3794,23.35
2026-08-20,Quarterly,2023-07-01,2023-09-30,Metro,"Atlanta, GA",3913,19.61
2026-08-20,Quarterly,2023-04-01,2023-06-30,Metro,"Atlanta, GA",4104,18.93
2026-08-20,Quarterly,2023-01-01,2023-03-31,Metro,"Atlanta, GA",3307,20.68
2026-08-20,Quarterly,2022-10-01,2022-12-31,Metro,"Atlanta, GA",4776,25.54
2026-08-20,Quarterly,2022-07-01,2022-09-30,Metro,"Atlanta, GA",7629,28.97
2026-08-20,Quarterly,2022-04-01,2022-06-30,Metro,"Atlanta, GA",10981,33.08
2026-08-20,Quarterly,2022-01-01,2022-03-31,Metro,"Atlanta, GA",9401,34.25
2026-08-20,Quarterly,2021-10-01,2021-12-31,Metro,"Atlanta, GA",12669,37.59
2026-08-20,Quarterly,2021-07-01,2021-09-30,Metro,"Atlanta, GA",12817,33.92
2026-08-20,Quarterly,2021-04-01,2021-06-30,Metro,"Atlanta, GA",8946,25.2
2026-08-20,Quarterly,2021-01-01,2021-03-31,Metro,"Atlanta, GA",6313,24.64
2026-08-20,Quarterly,2020-10-01,2020-12-31,Metro,"Atlanta, GA",5576,19.36
2026-08-20,Quarterly,2020-07-01,2020-09-30,Metro,"Atlanta, GA",4574,14.99
2026-08-20,Quarterly,2020-04-01,2020-06-30,Metro,"Atlanta, GA",3086,13.79
2026-08-20,Quarterly,2020-01-01,2020-03-31,Metro,"Atlanta, GA",5663,25.66
2026-08-20,Quarterly,2019-10-01,2019-12-31,Metro,"Atlanta, GA",6430,24.44
2026-08-20,Quarterly,2019-07-01,2019-09-30,Metro,"Atlanta, GA",6463,21.84
2026-08-20,Quarterly,2019-04-01,2019-06-30,Metro,"Atlanta, GA",6343,20.08
2026-08-20,Quarterly,2019-01-01,2019-03-31,Metro,"Atlanta, GA",4790,22.75
2026-08-20,Quarterly,2018-10-01,2018-12-31,Metro,"Atlanta, GA",5455,21.86
2026-08-20,Quarterly,2018-07-01,2018-09-30,Metro,"Atlanta, GA",6211,20.47
2026-08-20,Quarterly,2018-04-01,2018-06-30,Metro,"Atlanta, GA",5813,18.78
2026-08-20,Quarterly,2018-01-01,2018-03-31,Metro,"Atlanta, GA",4917,23.11
2026-08-20,Quarterly,2017-10-01,2017-12-31,Metro,"Atlanta, GA",4835,20.13
2026-08-20,Quarterly,2017-07-01,2017-09-30,Metro,"Atlanta, GA",4730,17.12
2026-08-20,Quarterly,2017-04-01,2017-06-30,Metro,"Atlanta, GA",4408,15.59
2026-08-20,Quarterly,2017-01-01,2017-03-31,Metro,"Atlanta, GA",3137,17.4
2026-08-20,Quarterly,2016-10-01,2016-12-31,Metro,"Atlanta, GA",3264,15.18
2026-08-20,Quarterly,2016-07-01,2016-09-30,Metro,"Atlanta, GA",3384,13.24
2026-08-20,Quarterly,2016-04-01,2016-06-30,Metro,"Atlanta, GA",3359,13.15
2026-08-20,Quarterly,2016-01-01,2016-03-31,Metro,"Atlanta, GA",2540,15.74
