seed,arm,homeownership_rate,rental_vacancy_rate,annual_appreciation_g,mean_ltv_owner_occupier,mean_lti_owner_occupier,institutional_share_of_rentals,investor_share_of_stock,median_price,median_rent,n_households,months_of_inventory,median_months_on_market,n_purchases_ftb,n_purchases_repeat,n_purchases_investor,n_purchases_institutional,n_purchases_small_landlord,n_purchases_total,ftb_purchase_share,repeat_buyer_purchase_share,investor_purchase_share,institutional_purchase_share,small_landlord_purchase_share
0,baseline,0.5748259593559948,0.03638554686047404,0.04596180605617684,0.8436565527924074,1.8574465459150573,0.32398934603686047,0.29216923796166433,228035.83495018713,1727.922027238539,645.8,5.330204081632653,2.625,0.7,1.4416666666666667,0.15,0.016666666666666666,0.13333333333333333,2.2916666666666665,0.3054545454545455,0.6290909090909091,0.06545454545454546,0.007272727272727273,0.05818181818181818
0,adopted,0.5623027253257834,0.03957971028467722,0.04441945288437914,0.8474751731383049,1.8433683648211379,0.3193514788171906,0.30371669004207574,226136.17457781947,1796.9603343382603,640.4416666666667,5.405265567765567,2.5,0.6666666666666666,1.525,0.275,0.06666666666666667,0.20833333333333334,2.466666666666667,0.2702702702702703,0.6182432432432432,0.11148648648648649,0.02702702702702703,0.08445945945945946
1,baseline,0.5773783704269857,0.040724347229871,0.027971886624518147,0.8409560464066373,1.769152003035252,0.3714357831922246,0.2542490000697443,220712.7785730297,2026.3971827753862,711.8333333333334,7.52647233348168,4.283333333333333,0.9,1.9166666666666667,0.225,0.041666666666666664,0.18333333333333332,3.0416666666666665,0.2958904109589041,0.6301369863013698,0.07397260273972603,0.0136986301369863,0.06027397260273973
1,adopted,0.5851406926796926,0.050032805183937094,0.03929375801727485,0.857346539791555,1.7856834978032716,0.3625994260073219,0.25900235343780614,215705.27956002863,2064.529423256637,716.4166666666666,10.210114128295947,4.375,0.9083333333333333,1.8333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,2.908333333333333,0.3123209169054441,0.6303724928366762,0.05730659025787966,0.02865329512893983,0.02865329512893983
2,baseline,0.5262187532746831,0.06043995349223955,0.01964647065211116,0.8179610615557446,1.8317942154088385,0.3333141149200683,0.33841020255764853,232270.9894081251,1646.7977857897354,674.0,5.949352750809062,2.5833333333333335,0.8583333333333333,1.3583333333333334,0.30833333333333335,0.15833333333333333,0.15,2.525,0.33993399339933994,0.5379537953795379,0.12211221122112212,0.0627062706270627,0.0594059405940594
2,adopted,0.5181256786943068,0.05858793321672797,0.046755033946980225,0.8221544510218116,1.8599532649077075,0.3033165840373382,0.3423008520788128,235842.3143485383,1645.8933780331529,668.5666666666667,5.790126262626264,2.5708333333333333,0.7916666666666666,1.5916666666666666,0.4166666666666667,0.041666666666666664,0.375,2.8,0.28273809523809523,0.5684523809523809,0.1488095238095238,0.01488095238095238,0.13392857142857142
3,baseline,0.5189207047377651,0.06623983813273954,0.03804204457013733,0.8092241169016339,1.8419339498874412,0.3625356831387114,0.3365740845236537,233890.6392783571,1550.1894594815674,657.1166666666667,7.065145502645503,2.85,0.8583333333333333,1.3916666666666666,0.3333333333333333,0.14166666666666666,0.19166666666666668,2.5833333333333335,0.33225806451612905,0.5387096774193548,0.12903225806451613,0.054838709677419356,0.07419354838709677
3,adopted,0.5244611537729855,0.06290057660582754,0.0473255027530478,0.8158946332286734,1.858248912764175,0.340257823239284,0.3410183875530411,235190.66034157082,1454.4174597821236,641.0333333333333,5.509924378556454,2.470833333333333,0.825,1.2833333333333334,0.5416666666666666,0.08333333333333333,0.4583333333333333,2.65,0.3113207547169811,0.48427672955974843,0.20440251572327045,0.031446540880503145,0.17295597484276728
4,baseline,0.5198070176769768,0.04749567914233433,0.032829328576684455,0.8382445829766899,1.8879948144678669,0.3169738953073801,0.36016851338873496,226249.5197225986,1492.7947812002697,647.8,5.6927910052910065,2.470833333333333,0.825,1.3333333333333333,0.425,0.058333333333333334,0.36666666666666664,2.5833333333333335,0.3193548387096774,0.5161290322580645,0.16451612903225807,0.02258064516129032,0.14193548387096774
4,adopted,0.5217698365997029,0.04625028757155712,0.03596411638043902,0.840474357230835,1.89138409057261,0.30754205586581695,0.3624884579870729,227906.3436382991,1479.5954862683623,638.8583333333333,5.921132897603487,2.7041666666666666,0.95,1.2083333333333333,0.4083333333333333,0.06666666666666667,0.3416666666666667,2.566666666666667,0.37012987012987014,0.4707792207792208,0.1590909090909091,0.025974025974025976,0.1331168831168831
5,baseline,0.5462744912222356,0.040275000267931314,0.020781589245836448,0.8554873181344822,1.8074570718000535,0.3306521263616338,0.29257725509760846,211511.40767293767,1660.8584680434165,711.65,7.097249827467219,2.8875,0.8833333333333333,1.65,0.35,0.058333333333333334,0.2916666666666667,2.8833333333333333,0.3063583815028902,0.5722543352601156,0.12138728323699421,0.02023121387283237,0.10115606936416185
5,adopted,0.5348017682208173,0.03570837153055509,0.01998222942712163,0.8574365488421224,1.8440121911835239,0.34929480937042073,0.28709296778580745,217345.38575607713,1600.8040262874283,716.6833333333333,6.957732732732732,2.8625,0.7833333333333333,1.65,0.3416666666666667,0.075,0.26666666666666666,2.775,0.2822822822822823,0.5945945945945946,0.12312312312312312,0.02702702702702703,0.0960960960960961
6,baseline,0.5089481856426906,0.05546491481304902,0.031869077791511845,0.8110363809765573,1.7633938625947005,0.33714106817045075,0.3237407108306118,225346.08948152082,1609.3836123275,681.2416666666667,5.72797973356009,2.620833333333333,0.8916666666666667,1.4333333333333333,0.6,0.05,0.55,2.925,0.30484330484330485,0.49002849002849,0.20512820512820512,0.017094017094017096,0.18803418803418803
6,adopted,0.5227178540604934,0.05751631073415726,0.023183345381920507,0.8263180748051105,1.7758631363630355,0.343129341363966,0.31617773894007656,220142.3648157128,1642.1010353886788,662.8833333333333,5.5454952968841855,2.475,0.8416666666666667,1.375,0.475,0.058333333333333334,0.4166666666666667,2.691666666666667,0.3126934984520124,0.5108359133126935,0.17647058823529413,0.021671826625386997,0.15479876160990713
7,baseline,0.5507971827264864,0.05175855935483418,0.024849639122012622,0.8189148865891098,1.7294994121545695,0.29347440318602513,0.3292207364946439,231623.6462568072,1792.5731509423067,686.875,5.421571289334448,2.425,1.2,1.2833333333333334,0.44166666666666665,0.11666666666666667,0.325,2.925,0.41025641025641024,0.43874643874643876,0.150997150997151,0.039886039886039885,0.1111111111111111
7,adopted,0.5558712323254819,0.05037508143244276,0.017052901485898317,0.8285218209947403,1.7399561194949063,0.2937088599261157,0.31220851995127374,232938.8676568987,1847.6664219743282,683.4166666666666,5.516478696741854,2.745833333333333,1.075,1.5333333333333334,0.3,0.06666666666666667,0.23333333333333334,2.908333333333333,0.36962750716332377,0.5272206303724928,0.10315186246418338,0.022922636103151862,0.08022922636103152
8,baseline,0.5077295612792995,0.049941135078856884,0.03538755753259967,0.8337670825950324,1.739385739342335,0.34904208296010636,0.34274755927475586,224749.64739616262,1686.5969923252092,654.0,4.545241838873914,2.3041666666666667,0.9916666666666667,1.175,0.5166666666666667,0.15,0.36666666666666664,2.683333333333333,0.3695652173913043,0.43788819875776397,0.19254658385093168,0.055900621118012424,0.13664596273291926
8,adopted,0.5016138543346691,0.059014576413933977,0.022251354014140277,0.8272899062985434,1.8013275998548675,0.34770257914748903,0.3430918743770887,229594.63531584712,1703.61526166496,662.1833333333333,5.741354016354016,2.5375,0.8666666666666667,1.0416666666666667,0.4166666666666667,0.10833333333333334,0.30833333333333335,2.325,0.3727598566308244,0.44802867383512546,0.17921146953405018,0.04659498207885305,0.13261648745519714
9,baseline,0.5405481958984955,0.05406012358352453,0.027381150046418768,0.8345306137797004,1.8492504045688027,0.2715193019442455,0.3399714337077105,225622.01595754214,1584.9072961596862,685.7166666666667,6.219017094017094,2.691666666666667,0.7,1.3666666666666667,0.5083333333333333,0.058333333333333334,0.45,2.575,0.27184466019417475,0.5307443365695793,0.19741100323624594,0.022653721682847898,0.17475728155339806
9,adopted,0.5453823381555813,0.04853884352584773,0.025906878181476713,0.8378476194978697,1.8178795215618075,0.26560942418959327,0.34910205400647426,221566.6878632047,1566.0275818365344,684.2083333333334,6.058234126984126,2.6708333333333334,0.8666666666666667,1.2083333333333333,0.525,0.13333333333333333,0.39166666666666666,2.6,0.3333333333333333,0.46474358974358976,0.20192307692307693,0.05128205128205128,0.15064102564102563
10,baseline,0.555342842840444,0.04569672960858732,0.02950922771335207,0.8214966895687357,1.8137825096742148,0.33999443648794164,0.2990029027241629,232776.3266212845,1827.6798093183727,687.6833333333333,6.437305068226122,2.7125,0.925,1.625,0.26666666666666666,0.025,0.24166666666666667,2.816666666666667,0.32840236686390534,0.5769230769230769,0.09467455621301775,0.008875739644970414,0.08579881656804733
10,adopted,0.5492210999338832,0.040072718282250244,0.036527502233878725,0.8225994298158467,1.782869229795279,0.35231912121555536,0.2924080577128967,234756.62319536804,1943.5072249974135,680.875,5.4460648148148145,2.7041666666666666,0.75,1.6083333333333334,0.31666666666666665,0.06666666666666667,0.25,2.675,0.2803738317757009,0.6012461059190031,0.11838006230529595,0.024922118380062305,0.09345794392523364
11,baseline,0.538176568740011,0.03946567931306872,0.020034137847452387,0.8192860488227571,1.7594355668912596,0.313660883743619,0.3367366779076621,215032.9373134298,1621.004655047346,667.7083333333334,5.608698270975056,2.595833333333333,0.9166666666666666,1.3833333333333333,0.48333333333333334,0.058333333333333334,0.425,2.783333333333333,0.32934131736526945,0.49700598802395207,0.17365269461077845,0.020958083832335328,0.15269461077844312
11,adopted,0.5373215318674196,0.04564471558270177,0.0318065066454302,0.8142565047075625,1.8072338227834739,0.29438853408088733,0.3453213495042994,227896.15357133685,1552.4732863930258,664.5083333333333,5.5739335317460315,2.525,0.9083333333333333,1.275,0.49166666666666664,0.10833333333333334,0.38333333333333336,2.675,0.3395638629283489,0.4766355140186916,0.1838006230529595,0.040498442367601244,0.14330218068535824
12,baseline,0.5017884718886653,0.05182050722251284,0.041743514070553774,0.8168141519903966,1.8179032198864902,0.3110525019118359,0.3480627697099511,239811.60988090484,1539.533290153674,647.725,5.989263668430335,2.5875,0.8833333333333333,1.3916666666666666,0.31666666666666665,0.075,0.24166666666666667,2.591666666666667,0.3408360128617363,0.5369774919614148,0.12218649517684887,0.028938906752411574,0.0932475884244373
12,adopted,0.5027880184169978,0.0475080397290013,0.03893631054661141,0.8299115691440048,1.8165347779150782,0.31270144828187146,0.3439761904761905,231954.85440629174,1534.3685376907692,632.7583333333333,5.419189602446482,2.529166666666667,0.8583333333333333,1.175,0.35,0.06666666666666667,0.2833333333333333,2.3833333333333333,0.36013986013986016,0.493006993006993,0.14685314685314685,0.027972027972027972,0.11888111888111888
13,baseline,0.5604157490089954,0.06286200528279298,0.018069468769971318,0.8133456140616254,1.777683878796799,0.34265349530394074,0.3048039147422429,228481.9423214567,1805.3894446112765,718.2,5.660114300903775,2.6166666666666667,1.0416666666666667,1.675,0.5583333333333333,0.20833333333333334,0.35,3.275,0.31806615776081426,0.5114503816793893,0.17048346055979643,0.06361323155216285,0.10687022900763359
13,adopted,0.5695357871804168,0.055466265890318896,0.026573230701582195,0.8322501935971167,1.7902705602866549,0.35334683807173317,0.29368166758204123,223658.74807563858,1815.3996588704224,720.9416666666667,6.6188647342995175,2.725,1.075,1.825,0.475,0.15,0.325,3.375,0.31851851851851853,0.5407407407407407,0.14074074074074075,0.044444444444444446,0.0962962962962963
14,baseline,0.555161175894852,0.03710122569536294,0.025352201280456888,0.8312459961131525,1.8429617592571956,0.2926181702805895,0.28907253673114125,238441.95024924594,2056.8827100948565,677.8083333333333,7.496761773579956,3.308333333333333,0.9333333333333333,1.4916666666666667,0.4083333333333333,0.09166666666666666,0.31666666666666665,2.8333333333333335,0.32941176470588235,0.5264705882352941,0.14411764705882352,0.03235294117647059,0.11176470588235295
14,adopted,0.5413688046689782,0.04020162501156867,0.012379848655757053,0.8397209680888463,1.8679428954536916,0.27985740782188756,0.3001232851035469,238610.96334607754,2102.269567201918,671.7916666666666,6.173236185383245,2.7666666666666666,0.9,1.4916666666666667,0.3416666666666667,0.008333333333333333,0.3333333333333333,2.7333333333333334,0.32926829268292684,0.5457317073170732,0.125,0.003048780487804878,0.12195121951219512
15,baseline,0.5649901843699247,0.06657471281382683,0.02160749936828035,0.8133845378680806,1.7362820718930534,0.29565427653471754,0.3075611990608006,229753.19447548606,1601.5066704174978,667.3333333333334,5.483367250033917,2.5625,0.9083333333333333,1.8333333333333333,0.5916666666666667,0.058333333333333334,0.5333333333333333,3.3333333333333335,0.2725,0.55,0.1775,0.0175,0.16
15,adopted,0.5449780310190607,0.06756688660279912,0.021897976839244056,0.8262627605967929,1.7281375819967615,0.33065582256895537,0.3210295160152559,227807.15553320086,1646.0514258002893,671.85,6.203629533234797,2.6958333333333333,0.9833333333333333,1.625,0.6,0.21666666666666667,0.38333333333333336,3.2083333333333335,0.3064935064935065,0.5064935064935064,0.18701298701298702,0.06753246753246753,0.11948051948051948
16,baseline,0.5383292496135577,0.03613914505172998,0.026194966293291908,0.8198468711873983,1.9123372733508925,0.3341311218886442,0.2822794928801891,246710.177736839,1682.5276533214624,670.2416666666667,5.572758094117317,2.529166666666667,0.7416666666666667,1.75,0.375,0.11666666666666667,0.25833333333333336,2.8666666666666667,0.25872093023255816,0.6104651162790697,0.1308139534883721,0.040697674418604654,0.09011627906976744
16,adopted,0.5238822664476482,0.03751693571485505,0.03352109615254286,0.8269930687583237,1.8937310016996776,0.3168674885274338,0.2881557391502775,240192.23290959137,1796.3538706738993,676.9166666666666,7.010196208112875,2.8958333333333335,0.6666666666666666,1.65,0.2916666666666667,0.05,0.24166666666666667,2.6083333333333334,0.25559105431309903,0.6325878594249201,0.11182108626198083,0.019169329073482427,0.0926517571884984
17,baseline,0.5344625269361989,0.07096384878798488,0.04524083464378237,0.8033431892623976,1.7441827896880966,0.3139088211842929,0.3103092676857146,229461.33408453173,1714.7485442001073,701.3416666666667,6.241401907271472,2.5125,0.8666666666666667,1.5666666666666667,0.525,0.075,0.45,2.9583333333333335,0.29295774647887324,0.5295774647887324,0.17746478873239438,0.02535211267605634,0.15211267605633802
17,adopted,0.5500795688755631,0.05835318009006285,0.023789655728895538,0.8197466423500255,1.7475406547598358,0.36150414507893736,0.28470383764874346,229785.67836317513,1948.9763812101896,697.325,7.569684717797926,2.7291666666666665,0.95,1.7833333333333334,0.13333333333333333,0.058333333333333334,0.075,2.8666666666666667,0.3313953488372093,0.622093023255814,0.046511627906976744,0.020348837209302327,0.02616279069767442
18,baseline,0.561393313965373,0.04857056606074147,0.05571923389402663,0.8300854304919547,1.7932288634503075,0.32545182358247476,0.2613809539978097,226324.09612335934,2043.1477909873154,684.375,7.093852949985026,2.629166666666667,0.8666666666666667,1.625,0.18333333333333332,0.041666666666666664,0.14166666666666666,2.675,0.32398753894080995,0.6074766355140186,0.06853582554517133,0.01557632398753894,0.0529595015576324
18,adopted,0.566115225798468,0.04059820826374816,0.028832136811741692,0.8522022810099836,1.8096423837415818,0.3335474725317982,0.24318834479536278,215333.6461524761,2152.2748692598707,697.6333333333333,7.626082251082251,3.9541666666666666,0.9333333333333333,1.825,0.18333333333333332,0.03333333333333333,0.15,2.941666666666667,0.31728045325779036,0.6203966005665722,0.06232294617563739,0.0113314447592068,0.05099150141643059
19,baseline,0.5238324575039713,0.07757625685528144,0.03582120702224908,0.8270841663186025,1.7331781937777242,0.26984301823091006,0.3221428571428572,215514.40320192793,1509.259306681327,625.8083333333333,6.100693550693551,2.5125,0.8166666666666667,1.4666666666666666,0.4583333333333333,0.08333333333333333,0.375,2.7416666666666667,0.2978723404255319,0.5349544072948328,0.16717325227963525,0.030395136778115502,0.13677811550151975
19,adopted,0.5323696262356089,0.07166271743740969,0.04984540639258591,0.8352037728829683,1.7313505993167586,0.24397095069713046,0.33142172147531146,223344.57138003557,1486.0040794526847,634.4083333333333,5.3845238095238095,2.5875,0.875,1.425,0.44166666666666665,0.06666666666666667,0.375,2.7416666666666667,0.3191489361702128,0.5197568389057751,0.16109422492401215,0.0243161094224924,0.13677811550151975
